candidate_id,generation,status,overall_score,title,operators,lenses
offspring-ca7e8a9d75eeb94a,1,proposed,0.6727,Improve Lid hinge knuckles via repurpose feature · parameter shift,"repurpose_feature,parameter_shift",connectivity_among_parts
offspring-0a470d6d7e173731,1,proposed,0.6714,Modify Auxiliary lid bosses via add observability · adjacent association,"add_observability,adjacent_association","aesthetics,manufacturability"
candidate-d6ef35d163828a92,0,proposed,0.671,Modify Base shell via crossover,crossover,assemblability
candidate-e3bfc331ef3c6b52,0,proposed,0.6705,Modify Base hinge knuckles via adjacent association,adjacent_association,manufacturability
crossover-26faa523d80cdf80,2,proposed,0.6612,Crossover: Improve Base hinge knuckles via reframe goal · repurpose feature × Crossover: Improve Base hinge knuckles via reframe goal × Develop Base shell via parameter shift,"reframe_goal,repurpose_feature,parameter_shift","shape,connectivity_among_parts,reversibility"
offspring-d47b84eca845884c,1,proposed,0.6594,Modify Base hinge knuckles via adjacent association · crossover,"adjacent_association,crossover",manufacturability
offspring-0af2962b7b723bee,1,proposed,0.6556,Change Base shell via make reversible · add observability,"make_reversible,add_observability",human_use
offspring-7258f61795bc6f78,1,proposed,0.6552,Modify Base shell via crossover · reframe goal,"crossover,reframe_goal",assemblability
offspring-61d186af72b2a828,3,proposed,0.6543,Improve Lid hinge knuckles via repurpose feature · parameter shift · substitute process · modularize,"repurpose_feature,parameter_shift,substitute_process,modularize",connectivity_among_parts
candidate-b58bc1989cb442b1,0,proposed,0.643,Change Base shell via make reversible,make_reversible,human_use
candidate-720530632990e56b,0,proposed,0.6377,Develop Auxiliary lid bosses via reframe goal,reframe_goal,"serviceability,testability"
offspring-04c44c80b6dbed01,2,proposed,0.6362,Change Base hinge knuckles via modularize · make reversible · add observability,"modularize,make_reversible,add_observability",durability_characteristics
offspring-46f5cf1d80b8053e,1,proposed,0.6335,Develop Auxiliary lid bosses via reframe goal · repurpose feature,"reframe_goal,repurpose_feature","serviceability,testability"
offspring-f9b17523dfb4fe2b,2,proposed,0.6306,Change Base shell via make reversible · add observability · adjacent association,"make_reversible,add_observability,adjacent_association",human_use
offspring-0ea2042a88fc7ed0,2,proposed,0.6293,Develop Auxiliary lid bosses via reframe goal · repurpose feature · parameter shift,"reframe_goal,repurpose_feature,parameter_shift","serviceability,testability"
candidate-315a752860ba07a9,0,proposed,0.6272,Develop Base shell via parameter shift,parameter_shift,reversibility
offspring-7ea0cea56d329e21,3,proposed,0.6215,Improve rotate_lid via parameter shift · substitute process · modularize · make reversible,"parameter_shift,substitute_process,modularize,make_reversible",spatial_relations_among_parts
offspring-f9faf0f8b59dea2c,2,proposed,0.6168,Develop Base hinge knuckles via repurpose feature · parameter shift · substitute process,"repurpose_feature,parameter_shift,substitute_process",testability
candidate-a7fe04dd6a8bfb7d,0,proposed,0.6163,Develop Base hinge knuckles via repurpose feature,repurpose_feature,testability
offspring-e7692d96976e2a55,2,proposed,0.6065,Modify Base shell via crossover · reframe goal · repurpose feature,"crossover,reframe_goal,repurpose_feature",assemblability
candidate-ac2bbf1d463b3922,0,proposed,0.5953,Change Base hinge knuckles via modularize,modularize,durability_characteristics
offspring-c3170e65a6996cb3,1,proposed,0.5914,Improve rotate_lid via parameter shift · substitute process,"parameter_shift,substitute_process",spatial_relations_among_parts
offspring-0ff5074c7b53426b,1,proposed,0.5831,Develop Base shell via parameter shift · substitute process,"parameter_shift,substitute_process",reversibility
